image-1,image-2,t-im1,t-im2,t-diff,coord-1,coord-2,dist,vel
photo_00154.jpg,photo_00155.jpg,2022-01-14 15:25:07,2022-01-14 15:25:16,9,"(644.4750366210938, 659.4049682617188)","(1104.8143310546875, 676.8231811523438)",41.87897361335933,0.5885391758464097
photo_00154.jpg,photo_01929.jpg,2022-01-14 15:25:07,2022-01-14 21:12:25,20838,"(1256.601806640625, 346.291259765625)","(833.760009765625, 211.6800079345703)",13.447014487471366,8.161908016006231e-05
photo_00154.jpg,photo_01930.jpg,2022-01-14 15:25:07,2022-01-14 21:12:34,20847,"(1256.6019287109375, 345.8765563964844)","(166.0, 356.0)",30.295803133671924,0.00018380645562175973
photo_00154.jpg,photo_01931.jpg,2022-01-14 15:25:07,2022-01-14 21:12:43,20856,"(1254.1136474609375, 370.2621154785156)","(350.85321044921875, 614.6151733398438)",25.289959578524556,0.00015336949019427435
photo_00154.jpg,photo_01932.jpg,2022-01-14 15:25:07,2022-01-14 21:12:50,20863,"(1254.1136474609375, 370.2621154785156)","(793.7742919921875, 664.381591796875)",13.323829889217944,8.077448134919646e-05
photo_00154.jpg,photo_01933.jpg,2022-01-14 15:25:07,2022-01-14 21:12:59,20872,"(644.9727172851562, 659.9026489257812)","(231.8400115966797, 897.1200561523438)",14.88729569289302,9.021393058820952e-05
photo_00154.jpg,photo_01934.jpg,2022-01-14 15:25:07,2022-01-14 21:13:08,20881,"(1257.984130859375, 345.60003662109375)","(950.4000854492188, 304.1280212402344)",9.698978736238328,5.874847136437066e-05
photo_00154.jpg,photo_01935.jpg,2022-01-14 15:25:07,2022-01-14 21:13:17,20890,"(1256.601806640625, 346.291259765625)","(1206.83544921875, 549.9188232421875)",6.352145103681242,3.845951712367657e-05
photo_00155.jpg,photo_01929.jpg,2022-01-14 15:25:16,2022-01-14 21:12:25,20829,"(1104.8143310546875, 676.8231811523438)","(883.3536987304688, 549.5040893554688)",15.026500559009394,9.124546501049057e-05
photo_00155.jpg,photo_01930.jpg,2022-01-14 15:25:16,2022-01-14 21:12:34,20838,"(1104.8143310546875, 676.8231811523438)","(97.0, 478.0)",46.692691113214934,0.00028340971168055594
photo_00155.jpg,photo_01931.jpg,2022-01-14 15:25:16,2022-01-14 21:12:43,20847,"(1104.8143310546875, 676.8231811523438)","(507.6000061035156, 522.0)",34.27535410794987,0.0002079506301901233
photo_00155.jpg,photo_01932.jpg,2022-01-14 15:25:16,2022-01-14 21:12:50,20854,"(1104.8143310546875, 676.8231811523438)","(947.0, 573.0)",9.445186079536878,5.728527550301258e-05
photo_00155.jpg,photo_01933.jpg,2022-01-14 15:25:16,2022-01-14 21:12:59,20863,"(1057.03857421875, 695.7344360351562)","(111.60000610351562, 720.0)",52.54166200177136,0.00031852894645947573
photo_00155.jpg,photo_01934.jpg,2022-01-14 15:25:16,2022-01-14 21:13:08,20872,"(1104.8143310546875, 676.8231811523438)","(1280.0, 765.0)",9.33930445364098,5.659425197856032e-05
photo_00155.jpg,photo_01935.jpg,2022-01-14 15:25:16,2022-01-14 21:13:17,20881,"(1178.8668212890625, 652.1390991210938)","(1002.0, 698.0)",9.135794259713006,5.533716095821565e-05
photo_01929.jpg,photo_01930.jpg,2022-01-14 21:12:25,2022-01-14 21:12:34,9,"(1092.9600830078125, 708.4800415039062)","(112.32000732421875, 374.4000244140625)",6.952917829361486,0.09771167189529342
